Data
"{'data/savee/DC_n13.wav': ('data/savee/JK_n13.wav', 11.134520861353925)}"
"{'data/savee/DC_n13.wav': ('data/savee/JE_n13.wav', 10.144647538962309)}"
"{'data/savee/DC_su09.wav': ('data/savee/JK_su09.wav', 11.73924014573822)}"
"{'data/savee/DC_su09.wav': ('data/savee/JE_h05.wav', 12.372670619265026)}"
"{'data/savee/DC_n07.wav': ('data/savee/JK_n07.wav', 12.549082024572552)}"
"{'data/savee/DC_n07.wav': ('data/savee/JE_n07.wav', 11.43204375222545)}"
"{'data/savee/DC_h01.wav': ('data/savee/JK_a01.wav', 10.834436780992938)}"
"{'data/savee/DC_h01.wav': ('data/savee/JE_h01.wav', 11.174070525198971)}"
"{'data/savee/DC_h15.wav': ('data/savee/JK_h15.wav', 10.44138981501736)}"
"{'data/savee/DC_h15.wav': ('data/savee/JE_h15.wav', 12.10528954902231)}"
"{'data/savee/DC_h14.wav': ('data/savee/JK_h14.wav', 10.784765823353041)}"
"{'data/savee/DC_h14.wav': ('data/savee/JE_h14.wav', 11.848995427243395)}"
"{'data/savee/DC_n06.wav': ('data/savee/JK_n06.wav', 13.248621872796324)}"
"{'data/savee/DC_n06.wav': ('data/savee/JE_n06.wav', 10.409986607984507)}"
"{'data/savee/DC_n12.wav': ('data/savee/JK_n12.wav', 12.296100446047102)}"
"{'data/savee/DC_n12.wav': ('data/savee/JE_n12.wav', 11.729376337748722)}"
"{'data/savee/DC_su08.wav': ('data/savee/JK_su08.wav', 10.292364031251939)}"
"{'data/savee/DC_su08.wav': ('data/savee/JE_su08.wav', 11.00798640299967)}"
"{'data/savee/DC_n04.wav': ('data/savee/JK_n04.wav', 12.670574682935122)}"
"{'data/savee/DC_n04.wav': ('data/savee/JE_n04.wav', 10.301513405947901)}"
"{'data/savee/DC_n10.wav': ('data/savee/JK_n10.wav', 10.861517452378358)}"
"{'data/savee/DC_n10.wav': ('data/savee/JE_n10.wav', 11.189119110667722)}"
"{'data/savee/DC_h02.wav': ('data/savee/JK_d02.wav', 10.583985361963697)}"
"{'data/savee/DC_h02.wav': ('data/savee/JE_h02.wav', 10.746632175561455)}"
"{'data/savee/DC_h03.wav': ('data/savee/JK_a03.wav', 8.046946082122012)}"
"{'data/savee/DC_h03.wav': ('data/savee/JE_a03.wav', 9.015022126311157)}"
"{'data/savee/DC_n11.wav': ('data/savee/JK_n11.wav', 14.021818433639297)}"
"{'data/savee/DC_n11.wav': ('data/savee/JE_n11.wav', 12.604927576797818)}"
"{'data/savee/DC_n05.wav': ('data/savee/JK_n05.wav', 13.149532872502611)}"
"{'data/savee/DC_n05.wav': ('data/savee/JE_n19.wav', 12.984948381225523)}"
"{'data/savee/DC_n29.wav': ('data/savee/JK_n29.wav', 10.685624264201204)}"
"{'data/savee/DC_n29.wav': ('data/savee/JE_n29.wav', 11.018963422906626)}"
"{'data/savee/DC_n01.wav': ('data/savee/JK_n01.wav', 14.02882179284215)}"
"{'data/savee/DC_n01.wav': ('data/savee/JE_n01.wav', 11.09563101370222)}"
"{'data/savee/DC_n15.wav': ('data/savee/JK_n15.wav', 11.635183644283309)}"
